
xpos:241.15171984315276 ypos:462.20516801359395

xpos:798.4027133830505 ypos:189.5513123453024

xpos:295.6965572610775 ypos:501.81245716444226

xpos:57.9723624706443 ypos:512.331766016699

xpos:769.7000618975521 ypos:596.2737805024749

xpos:933.064608505221 ypos:189.49246763252862

xpos:305.4221966530236 ypos:195.06591246613195

xpos:748.1877314789087 ypos:161.38959438558933

xpos:365.60202966082824 ypos:684.0007413044588

xpos:289.36652911073236 ypos:396.588047729096

xpos:973.9218403896843 ypos:54.92217446651759

xpos:407.18591308954 ypos:780.7233371285531

xpos:212.8566942104214 ypos:720.7642606459468

xpos:222.922758761114 ypos:589.7872290139619

xpos:732.8152537585506 ypos:604.0956948614437

xpos:13.405459274768884 ypos:136.56551333702004

xpos:368.5816871095161 ypos:195.53473290731932

xpos:170.44298989557595 ypos:257.815819728707

xpos:206.13427466059585 ypos:213.93994470216836

xpos:439.91724401793965 ypos:103.41152295891298

xpos:95.29957505062647 ypos:764.0572529118419

xpos:242.82218858693295 ypos:144.55048251798212

xpos:446.3916797776039 ypos:35.11569888481443

xpos:424.3651214537402 ypos:250.3241039185589

xpos:741.164838648375 ypos:301.79786758614694

xpos:261.0210580779647 ypos:327.5466448193373

xpos:467.510634808322 ypos:698.5661246733181

xpos:780.8804391798615 ypos:102.23485835154716

xpos:689.7141821185236 ypos:205.95180199799108

xpos:854.3217642346007 ypos:433.36299418383885

xpos:29.125506279431 ypos:172.74628024212893

xpos:232.8929937907781 ypos:310.14084545949487

xpos:274.51649374545593 ypos:182.5122973291422

xpos:117.55036737757973 ypos:615.0037273867722

xpos:605.1902079721724 ypos:113.86596796414388

xpos:853.9263999309982 ypos:485.8088659231762

xpos:722.9547280731649 ypos:371.3332075492442

xpos:460.0824651801615 ypos:266.5797122062426

xpos:309.4388737708674 ypos:512.1374155431106

xpos:207.11929086213465 ypos:356.16003316971387

xpos:687.9621455521886 ypos:753.0452705288542

xpos:779.9788207910271 ypos:37.83807118539393

xpos:972.5263037033542 ypos:420.42543952831215

xpos:310.1332355959683 ypos:772.496137532458

xpos:285.95979809794693 ypos:634.1453368373312

xpos:514.254279942303 ypos:609.8074138064909

xpos:247.79408265054047 ypos:522.7975374485591

xpos:101.29584439459849 ypos:77.41946780850225

xpos:984.5613563965235 ypos:32.15069922564897

xpos:69.77271272169749 ypos:57.446190751913576

xpos:861.1176613963596 ypos:127.10687846843554

xpos:941.0289199918952 ypos:450.2864661257888

xpos:745.6066889586854 ypos:422.48078372463124

xpos:996.2083351709197 ypos:524.6257384652739

xpos:219.85276383250707 ypos:775.211356908464

xpos:128.001271342861 ypos:441.1000351592523

xpos:491.4407212555856 ypos:238.5189615737188

xpos:548.4090528096303 ypos:606.4776677319974

xpos:913.7668057237344 ypos:210.64275189477658

xpos:418.93301613703727 ypos:436.4835174642203

xpos:798.8019609721932 ypos:495.91726875662687

xpos:855.133668177912 ypos:298.63515891430677

xpos:787.2786499054616 ypos:694.9922045438539

xpos:860.1023513105076 ypos:385.32762203483975

xpos:430.4356460672414 ypos:132.3705035969242

xpos:218.57059182578053 ypos:140.3896206121403

xpos:556.9225672305314 ypos:752.6301320626912

xpos:269.6974296893855 ypos:452.02264944800197

xpos:627.4424925215442 ypos:713.430990021042

xpos:641.6477822081993 ypos:643.9867563248554

xpos:817.1046401490948 ypos:361.33964494251165

xpos:363.51657144439173 ypos:297.9339945941068

xpos:782.896711617834 ypos:82.70292389758538

xpos:695.5758013508653 ypos:539.8533300000129

xpos:745.1828626093765 ypos:457.6953148316302

xpos:444.2511078845852 ypos:529.0670010694978

xpos:128.5156807022416 ypos:130.0134461872397

xpos:99.45352221223335 ypos:565.8413965053538

xpos:891.174998092965 ypos:761.0244283303672

xpos:914.8533379503004 ypos:86.39972389392963

xpos:646.4414393558559 ypos:521.5380198282263

xpos:25.819308331344825 ypos:387.0455411768614

xpos:464.74139323194777 ypos:438.32585179825674

xpos:100.21114343070047 ypos:409.98654476000996

xpos:575.4175322936236 ypos:322.7313602529937

